year,ssp,gmst,gsic_med,gsic_lo,gsic_hi
2157,SSP3-7.0,5.259187561561653,25.447012728426788,20.02121730085284,30.65180351262163
2158,SSP3-7.0,5.2770984434226085,25.611154142556583,20.103060388549913,30.871869683107978
2159,SSP3-7.0,5.291728855466543,25.77046650870359,20.191979790170542,31.079772705488995
2160,SSP3-7.0,5.309802184563199,25.939567593265508,20.284729400880828,31.27086287663262
2161,SSP3-7.0,5.326185054960667,26.08440017723688,20.3680569471831,31.459577161521906
2162,SSP3-7.0,5.336970012765731,26.22474356517091,20.45689061646978,31.645841416853404
2163,SSP3-7.0,5.361034444310643,26.382741260057436,20.537077737462916,31.84586254776668
2164,SSP3-7.0,5.384395484056764,26.557964072639454,20.615947663506695,32.07062183290029
2165,SSP3-7.0,5.406655547091807,26.717273071687842,20.693135180394474,32.26315546048908
2166,SSP3-7.0,5.431827130259762,26.860883827196723,20.752388423895486,32.47376143344078
2167,SSP3-7.0,5.453836033796948,26.987653017625583,20.835766991903586,32.673282283366994
2168,SSP3-7.0,5.465805128734892,27.114321942797822,20.918316817188586,32.890599610651016
2169,SSP3-7.0,5.477688527042735,27.260414326780797,20.99053066293265,33.10614630029852
2170,SSP3-7.0,5.486032249799936,27.402209213386826,21.0613353168346,33.31991592139079
2171,SSP3-7.0,5.504393596467463,27.53801567431325,21.13087417368222,33.530769511343046
2172,SSP3-7.0,5.515560690786265,27.671018681308908,21.200188951643415,33.73976932168815
2173,SSP3-7.0,5.535379580008197,27.828957104346976,21.268152903433418,33.94614988746687
2174,SSP3-7.0,5.554203368498123,27.956476494228827,21.33488671821085,34.0990557654534
2175,SSP3-7.0,5.57186240059221,28.091369943146347,21.400391364772545,34.23869897046624
2176,SSP3-7.0,5.599735659928468,28.218507335160016,21.454101078059615,34.42933357934938
2177,SSP3-7.0,5.614901010770418,28.345286211346288,21.498679138800338,34.64622627227383
2178,SSP3-7.0,5.630472690704559,28.477742506082187,21.571038579342797,34.86155355759375
2179,SSP3-7.0,5.645431774695512,28.618392750620707,21.620888007769665,35.07532027885677
2180,SSP3-7.0,5.6536541161607605,28.741597036039423,21.670081637623188,35.26817830389266
2181,SSP3-7.0,5.668039922522648,28.855754139439107,21.718082987331247,35.49945135234568
2182,SSP3-7.0,5.6768062589170105,28.987202135356185,21.76788814121213,35.677467216860904
2183,SSP3-7.0,5.685347630853973,29.0767751877557,21.827411820948186,35.85263095871159
2184,SSP3-7.0,5.706523689160495,29.16466979790482,21.88555183335063,36.02487352366455
2185,SSP3-7.0,5.720779444872009,29.272270042991206,21.94245047792054,36.195247829248814
2186,SSP3-7.0,5.735872803887711,29.40991994189289,21.998052427109688,36.36354302911582
2187,SSP3-7.0,5.750704794738867,29.562430777679833,22.052469566338424,36.527835151214425
2188,SSP3-7.0,5.771248335849697,29.685283629570336,22.10674917275756,36.68900779187002
2189,SSP3-7.0,5.784914613156334,29.807810188657378,22.159831989151886,36.836133443413495
2190,SSP3-7.0,5.801909092750676,29.924628650566646,22.18237988081532,37.010762756027916
2191,SSP3-7.0,5.81326778433235,30.028532057423277,22.226442595992694,37.17009615528355
2192,SSP3-7.0,5.823479826121436,30.15985738544336,22.261904828699024,37.3260644039315
2193,SSP3-7.0,5.829708602783707,30.276615783431005,22.263537852825944,37.440613516621575
2194,SSP3-7.0,5.847731112844772,30.380167405722077,22.292109349779757,37.56375387864049
2195,SSP3-7.0,5.86296423267736,30.47422124380114,22.354345769507916,37.62212820157557
2196,SSP3-7.0,5.873552403267658,30.529792080506418,22.41636713540192,37.794204448076876
2197,SSP3-7.0,5.887225624270207,30.629099127063263,22.477317776333777,37.9644170712473
2198,SSP3-7.0,5.905183447573203,30.705510498149934,22.537240656129864,38.132852392758465
2199,SSP3-7.0,5.921339382797996,30.81314077963128,22.571944011496996,38.29701605583731
2200,SSP3-7.0,5.941003007766469,30.910449111775833,22.603673641883848,38.4616275809068
2201,SSP3-7.0,5.956998300100318,31.01464358457079,22.64172367789972,38.61925433136084
2202,SSP3-7.0,5.964261207793848,31.11641028324338,22.682313758103692,38.72675600398698
2203,SSP3-7.0,5.973653410791836,31.223619476247524,22.691778726344925,38.8615049985845
2204,SSP3-7.0,5.983430435228071,31.304662118379472,22.718231879987552,39.01715072131047
2205,SSP3-7.0,5.991143684746392,31.398579636669865,22.72282107496439,39.14591308448999
2206,SSP3-7.0,5.997126466954777,31.49605611021567,22.72560772243271,39.27243547103386
